ᎠᎦ	ạ²ga²	a2ga2
ᎨᎪᎵᎦ	ge²gohl²ga²	gee2gohl2ga2
ᎨᎾᏚᎳ	ge²nạ²du²³la	gee2na2duu23la
ᎨᎾᏚᎳ	ge²nạ²du²³la²	gee2na2duu23la2
ᎨᏃᎵᎦ	ge²nohl²ga	gee2nohl2ga
ᎨᏃᎵᎦ	ge²nohl²ga²	gee2nohl2ga2
ᎨᏃᎵᎩ	ge²nohl²gi	gee2nohl2gi
ᎨᏓᏚᎳ	ge²dạ²du²³la	gee2da2duu23la
ᎨᏓᏚᎳ	ge²dạ²du²³la²	gee2da2duu23la2
ᎨᏙᎵᎦ	ge²do²li¹ga	gee2doo2lii1ga
ᎨᏙᎵᎦ	ge²do²li¹ga²	gee2doo2lii1ga2
ᎨᏙᎵᎩ	ge²do²li¹gi	gee2doo2lii1gi
ᎨᏣᏚᎳ	ge²jạ²du²³la	gee2ja2duu23la
ᎨᏣᏚᎳ	ge²jạ²du²³la²	gee2ja2duu23la2
ᎨᏦᎵᎦ	ge²johl²ga	gee2johl2ga
ᎨᏦᎵᎦ	ge²johl²ga²	gee2johl2ga2
ᎨᏦᎵᎩ	ge²johl²gi	gee2johl2gi
ᎩᎾᏘᏗ	gị²nạt²di	gi2nat2di
ᎩᎾᏚᎳ	gị²nạ²du²³la	gi2na2duu23la
ᎩᎾᏚᎳ	gị²nạ²du²³la²	gi2na2duu23la2
ᎩᏂᎬᎢ	gị²ni²gv²³ɂi	gi2nii2gvv23-i
ᎩᏂᎰᎢ	gị²ni²ho³ɂi	gi2nii2hoo3-i
ᎩᏂᎲᎢ	gị²ni²hv²³ɂi	gi2nii2hvv23-i
ᎩᏂᏙᏓ	gị²ni²do²da	gi2nii2doo2da
ᎩᏃᎵᎦ	gị²nohl²ga	gi2nohl2ga
ᎩᏃᎵᎦ	gị²nohl²ga²	gi2nohl2ga2
ᎪᎦᏚᎳ	go²gạ²du²³la²	goo2ga2duu23la2
ᎪᎪᎵᎦ	go²gohl²ga	goo2gohl2ga
ᎪᎪᎵᎦ	go²gohl²ga²	goo2gohl2ga2
ᎪᎵᎪᎢ	go²li²go³ɂi	goo2lii2goo3-i
ᎪᎵᎪᎢ	gohl²go³ɂi	gohl2goo3-i
ᎪᏣᏚᎳ	go²jạ²du²³la²	goo2ja2duu23la2
ᎪᏦᎵᎦ	go²johl²ga	goo2johl2ga
ᎪᏦᎵᎦ	go²johl²ga²	goo2johl2ga2
ᎬᎪᎲᎢ	gv²go²hv²³ɂi	gvv2goo2hvv23-i
ᎬᎪᏩᏔ	gv²go¹wah²ta²	gvv2goo1wah2ta2
ᎬᏆᏚᎳ	gv²gwạ²du²³la²	gvv2gwa2duu23la2
ᎬᏉᎵᎦ	gv²gwohl²ga	gvv2gwohl2ga
ᎬᏉᎵᎦ	gv²gwohl²ga²	gvv2gwohl2ga2
ᎬᏯᏚᎳ	gv²yạ²du²³la²	gvv2ya2duu23la2
ᎬᏲᎵᎦ	gv²yo²li¹ga	gvv2yoo2lii1ga
ᎬᏲᎵᎦ	gv²yo²li¹ga²	gvv2yoo2lii1ga2
ᎯᎪᎲᎢ	hi²go²hv²³ɂi	hii2goo2hvv23-i
ᎯᎪᏩᏔ	hi²go¹wah²ta	hii2goo1wah2ta
ᎯᎪᏩᏔ	hi²go¹wah²ta²	hii2goo1wah2ta2
ᎯᎪᏩᏔ	hị²go¹wah²ta	hi2goo1wah2ta
